"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2013","Greece","Thousand tonnes","1,980",""
"2013","Spain","Thousand tonnes","24,949",""
"2013","France","Thousand tonnes","92,712",""
"2013","Croatia","Thousand tonnes","10,661",""
"2013","Italy","Thousand tonnes","87,960",""
"2013","Cyprus","Thousand tonnes",":","z"
"2013","Latvia","Thousand tonnes","55,831",""
"2013","Lithuania","Thousand tonnes","48,028",""
"2013","Luxembourg","Thousand tonnes","5,098",""
"2013","Hungary","Thousand tonnes","49,085",""
"2013","Malta","Thousand tonnes",":","z"
"2013","Netherlands","Thousand tonnes","38,927",""
"2013","Austria","Thousand tonnes","96,449",""
"2013","Poland","Thousand tonnes","232,596",""
"2013","Portugal","Thousand tonnes","9,291",""
"2013","Romania","Thousand tonnes","50,348",""
"2013","Slovenia","Thousand tonnes","17,156",""
"2013","Slovakia","Thousand tonnes","48,401",""
"2013","Finland","Thousand tonnes","36,433",""
"2013","Sweden","Thousand tonnes","67,047",""
"2013","United Kingdom","Thousand tonnes","117,769",""
"2013","Liechtenstein","Thousand tonnes","1,037",""
"2013","Norway","Thousand tonnes","31,429",""
"2013","Switzerland","Thousand tonnes","64,999",""
"2013","Montenegro","Thousand tonnes","1,050",""
"2013","North Macedonia","Thousand tonnes","2,283",""
"2013","Turkey","Thousand tonnes","25,053",""
"2013","Bosnia and Herzegovina","Thousand tonnes",":",""
"2014","Belgium","Thousand tonnes",":","c"
"2014","Bulgaria","Thousand tonnes","13,691",""
"2014","Czechia","Thousand tonnes","91,556",""
"2014","Denmark","Thousand tonnes","8,082",""
"2014","Germany (until 1990 former territory of the FRG)","Thousand tonnes","365,003",""
"2014","Estonia","Thousand tonnes","36,289",""
"2014","Ireland","Thousand tonnes","578",""
"2014","Greece","Thousand tonnes","2,143",""
"2014","Spain","Thousand tonnes","28,436",""
"2014","France","Thousand tonnes","90,826",""
"2014","Croatia","Thousand tonnes","10,390",""
"2014","Italy","Thousand tonnes","90,862",""
"2014","Cyprus","Thousand tonnes",":","z"
