"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2013","Cyprus","Thousand passengers",":","z"
"2013","Latvia","Thousand passengers","19,730",""
"2013","Lithuania","Thousand passengers","4,346",""
"2013","Luxembourg","Thousand passengers","20,549",""
"2013","Hungary","Thousand passengers","148,379",""
"2013","Malta","Thousand passengers",":","z"
"2013","Netherlands","Thousand passengers",":","c"
"2013","Austria","Thousand passengers","271,888",""
"2013","Poland","Thousand passengers","262,382",""
"2013","Portugal","Thousand passengers","126,079",""
"2013","Romania","Thousand passengers","57,393",""
"2013","Slovenia","Thousand passengers","15,995",""
"2013","Slovakia","Thousand passengers","45,946",""
"2013","Finland","Thousand passengers","69,318",""
"2013","Sweden","Thousand passengers","200,706",""
"2013","United Kingdom","Thousand passengers","1,599,484",""
"2013","Liechtenstein","Thousand passengers","96",""
"2013","Norway","Thousand passengers","67,251",""
"2013","Switzerland","Thousand passengers","540,352",""
"2013","Montenegro","Thousand passengers","922",""
"2013","North Macedonia","Thousand passengers","853",""
"2013","Turkey","Thousand passengers","46,442",""
"2013","Bosnia and Herzegovina","Thousand passengers",":",""
"2014","Belgium","Thousand passengers",":","c"
"2014","Bulgaria","Thousand passengers","24,615",""
"2014","Czechia","Thousand passengers","175,705",""
"2014","Denmark","Thousand passengers","208,311",""
"2014","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,693,080",""
"2014","Estonia","Thousand passengers","5,905",""
"2014","Ireland","Thousand passengers","38,517",""
"2014","Greece","Thousand passengers","13,399",""
"2014","Spain","Thousand passengers","563,801",""
"2014","France","Thousand passengers","1,157,679",""
"2014","Croatia","Thousand passengers","21,889",""
"2014","Italy","Thousand passengers","864,123",""
"2014","Cyprus","Thousand passengers",":","z"
"2014","Latvia","Thousand passengers","19,190",""
"2014","Lithuania","Thousand passengers","4,126",""
"2014","Luxembourg","Thousand passengers","21,503",""
"2014","Hungary","Thousand passengers","146,010",""
"2014","Malta","Thousand passengers",":","z"
"2014","Netherlands","Thousand passengers",":","c"
"2014","Austria","Thousand passengers","270,913",""
"2014","Poland","Thousand passengers","260,260",""
"2014","Portugal","Thousand passengers","128,295",""
"2014","Romania","Thousand passengers","64,751",""
"2014","Slovenia","Thousand passengers","14,435",""
"2014","Slovakia","Thousand passengers","49,098",""
"2014","Finland","Thousand passengers","68,262",""
"2014","Sweden","Thousand passengers","207,280",""
"2014","United Kingdom","Thousand passengers","1,679,746",""
"2014","Liechtenstein","Thousand passengers","97",""
"2014","Norway","Thousand passengers","70,341",""
"2014","Switzerland","Thousand passengers","567,049",""
"2014","Montenegro","Thousand passengers","1,122",""
"2014","North Macedonia","Thousand passengers","803",""
"2014","Turkey","Thousand passengers","78,403",""
"2014","Bosnia and Herzegovina","Thousand passengers","528",""
"2015","Belgium","Thousand passengers",":","c"
"2015","Bulgaria","Thousand passengers","22,518",""
"2015","Czechia","Thousand passengers","176,146",""
"2015","Denmark","Thousand passengers","212,253",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,684,908",""
"2015","Estonia","Thousand passengers","6,659",""
"2015","Ireland","Thousand passengers","39,660",""
"2015","Greece","Thousand passengers","16,040",""
"2015","Spain","Thousand passengers","567,854",""
"2015","France","Thousand passengers","1,204,201",""
"2015","Croatia","Thousand passengers","21,649",""
"2015","Italy","Thousand passengers","872,623",""
"2015","Cyprus","Thousand passengers",":","z"
"2015","Latvia","Thousand passengers","17,065",""
"2015","Lithuania","Thousand passengers","3,790",""
"2015","Luxembourg","Thousand passengers","22,496",""
"2015","Hungary","Thousand passengers",":","c"
"2015","Malta","Thousand passengers",":","z"
"2015","Netherlands","Thousand passengers",":","c"
"2015","Austria","Thousand passengers","280,060",""
"2015","Poland","Thousand passengers","269,664",""
"2015","Portugal","Thousand passengers","130,421",""
"2015","Romania","Thousand passengers","66,479",""
"2015","Slovenia","Thousand passengers","14,135",""
"2015","Slovakia","Thousand passengers","60,292",""
"2015","Finland","Thousand passengers","75,952",""
"2015","Sweden","Thousand passengers","214,434",""
"2015","United Kingdom","Thousand passengers","1,741,562",""
"2015","Liechtenstein","Thousand passengers",":","c"
"2015","Norway","Thousand passengers","73,836",""
"2015","Switzerland","Thousand passengers","586,589",""
